age,weight_kg,height_cm,bmi,goal,goal_enc,difficulty,diff_enc,category,exercise
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Arms,Skull Crushers
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Cardio,Box Jumps
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Cardio,Jump Rope
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Core,Ab Wheel Rollout
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Core,Plank
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Chest,Incline Dumbbell Press
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Chest,Push Up
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Legs,Leg Press
26,79.0,197.9,20.2,Maintain Weight,2,Intermediate,1,Legs,Lunges
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Cardio,Cycling
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Cardio,Running
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Core,Plank
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Core,Crunches
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Chest,Incline Dumbbell Press
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Chest,Bench Press
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Legs,Squat
64,57.1,197.9,14.6,Maintain Weight,2,Beginner,0,Legs,Leg Press
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Chest,Push Up
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Chest,Bench Press
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Back,Seated Cable Row
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Back,Lat Pulldown
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Legs,Calf Raises
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Legs,Leg Press
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Shoulders,Front Raise
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Shoulders,Arnold Press
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Arms,Tricep Pushdown
52,116.0,158.9,45.9,Muscle Gain,1,Beginner,0,Arms,Concentration Curl
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Cardio,Cycling
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Cardio,Running
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Core,Crunches
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Core,Plank
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Chest,Bench Press
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Chest,Push Up
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Legs,Squat
61,68.4,199.8,17.1,Maintain Weight,2,Beginner,0,Legs,Leg Press
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Cardio,Running
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Cardio,Jump Rope
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Core,Plank
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Core,Russian Twist
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Chest,Push Up
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Chest,Cable Fly
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Legs,Romanian Deadlift
53,61.5,158.2,24.6,Maintain Weight,2,Beginner,0,Legs,Leg Press
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Cardio,Box Jumps
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Cardio,Burpees
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Core,Leg Raises
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Core,Ab Wheel Rollout
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Chest,Incline Dumbbell Press
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Chest,Bench Press
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Legs,Squat
50,54.9,197.1,14.1,Maintain Weight,2,Advanced,2,Legs,Romanian Deadlift
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Cardio,Running
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Cardio,Cycling
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Core,Leg Raises
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Core,Russian Twist
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Chest,Incline Dumbbell Press
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Chest,Bench Press
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Legs,Leg Press
38,76.8,176.0,24.8,Maintain Weight,2,Beginner,0,Legs,Calf Raises
28,85.2,161.3,32.7,Weight Loss,0,Intermediate,1,Cardio,Running
28,85.2,161.3,32.7,Weight Loss,0,Intermediate,1,Cardio,Cycling
28,85.2,161.3,32.7,Weight Loss,0,Intermediate,1,Core,Ab Wheel Rollout
28,85.2,161.3,32.7,Weight Loss,0,Intermediate,1,Core,Plank
28,85.2,161.3,32.7,Weight Loss,0,Intermediate,1,Full Body,Kettlebell Swing
28,85.2,161.3,32.7,Weight Loss,0,Intermediate,1,Full Body,Battle Ropes
21,114.5,193.2,30.7,Weight Loss,0,Advanced,2,Cardio,Burpees
21,114.5,193.2,30.7,Weight Loss,0,Advanced,2,Cardio,Box Jumps
21,114.5,193.2,30.7,Weight Loss,0,Advanced,2,Core,Leg Raises
21,114.5,193.2,30.7,Weight Loss,0,Advanced,2,Core,Russian Twist
21,114.5,193.2,30.7,Weight Loss,0,Advanced,2,Full Body,Battle Ropes
21,114.5,193.2,30.7,Weight Loss,0,Advanced,2,Full Body,Thruster
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Cardio,Box Jumps
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Cardio,Burpees
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Core,Russian Twist
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Core,Leg Raises
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Chest,Incline Dumbbell Press
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Chest,Bench Press
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Legs,Squat
45,66.4,186.3,19.1,Maintain Weight,2,Advanced,2,Legs,Romanian Deadlift
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Cardio,Jump Rope
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Cardio,Running
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Core,Ab Wheel Rollout
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Core,Plank
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Chest,Push Up
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Chest,Cable Fly
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Legs,Squat
19,48.8,176.5,15.7,Maintain Weight,2,Intermediate,1,Legs,Leg Press
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Chest,Incline Dumbbell Press
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Chest,Push Up
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Back,Bent Over Row
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Back,Lat Pulldown
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Legs,Leg Press
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Legs,Lunges
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Shoulders,Arnold Press
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Shoulders,Lateral Raise
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Arms,Hammer Curl
53,89.6,182.9,26.8,Muscle Gain,1,Beginner,0,Arms,Skull Crushers
36,114.7,197.1,29.5,Weight Loss,0,Intermediate,1,Cardio,Box Jumps
36,114.7,197.1,29.5,Weight Loss,0,Intermediate,1,Cardio,Running
36,114.7,197.1,29.5,Weight Loss,0,Intermediate,1,Core,Plank
36,114.7,197.1,29.5,Weight Loss,0,Intermediate,1,Core,Crunches
36,114.7,197.1,29.5,Weight Loss,0,Intermediate,1,Full Body,Battle Ropes
36,114.7,197.1,29.5,Weight Loss,0,Intermediate,1,Full Body,Mountain Climbers
24,115.0,194.6,30.4,Weight Loss,0,Advanced,2,Cardio,Burpees
24,115.0,194.6,30.4,Weight Loss,0,Advanced,2,Cardio,Box Jumps
24,115.0,194.6,30.4,Weight Loss,0,Advanced,2,Core,Ab Wheel Rollout
24,115.0,194.6,30.4,Weight Loss,0,Advanced,2,Core,Russian Twist
24,115.0,194.6,30.4,Weight Loss,0,Advanced,2,Full Body,Thruster
24,115.0,194.6,30.4,Weight Loss,0,Advanced,2,Full Body,Battle Ropes
23,111.7,188.4,31.5,Weight Loss,0,Advanced,2,Cardio,Burpees
23,111.7,188.4,31.5,Weight Loss,0,Advanced,2,Cardio,Box Jumps
23,111.7,188.4,31.5,Weight Loss,0,Advanced,2,Core,Ab Wheel Rollout
23,111.7,188.4,31.5,Weight Loss,0,Advanced,2,Core,Leg Raises
23,111.7,188.4,31.5,Weight Loss,0,Advanced,2,Full Body,Clean and Press
23,111.7,188.4,31.5,Weight Loss,0,Advanced,2,Full Body,Kettlebell Swing
21,92.6,192.3,25.0,Weight Loss,0,Intermediate,1,Cardio,Burpees
21,92.6,192.3,25.0,Weight Loss,0,Intermediate,1,Cardio,Jump Rope
21,92.6,192.3,25.0,Weight Loss,0,Intermediate,1,Core,Leg Raises
21,92.6,192.3,25.0,Weight Loss,0,Intermediate,1,Core,Ab Wheel Rollout
21,92.6,192.3,25.0,Weight Loss,0,Intermediate,1,Full Body,Battle Ropes
21,92.6,192.3,25.0,Weight Loss,0,Intermediate,1,Full Body,Kettlebell Swing
23,50.6,194.7,13.3,Weight Loss,0,Advanced,2,Cardio,Burpees
23,50.6,194.7,13.3,Weight Loss,0,Advanced,2,Cardio,Box Jumps
23,50.6,194.7,13.3,Weight Loss,0,Advanced,2,Core,Russian Twist
23,50.6,194.7,13.3,Weight Loss,0,Advanced,2,Core,Ab Wheel Rollout
23,50.6,194.7,13.3,Weight Loss,0,Advanced,2,Full Body,Clean and Press
23,50.6,194.7,13.3,Weight Loss,0,Advanced,2,Full Body,Thruster
18,112.4,164.5,41.5,Weight Loss,0,Advanced,2,Cardio,Box Jumps
18,112.4,164.5,41.5,Weight Loss,0,Advanced,2,Cardio,Burpees
18,112.4,164.5,41.5,Weight Loss,0,Advanced,2,Core,Russian Twist
18,112.4,164.5,41.5,Weight Loss,0,Advanced,2,Core,Ab Wheel Rollout
18,112.4,164.5,41.5,Weight Loss,0,Advanced,2,Full Body,Thruster
18,112.4,164.5,41.5,Weight Loss,0,Advanced,2,Full Body,Battle Ropes
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Chest,Incline Dumbbell Press
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Chest,Dips
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Back,Pull Up
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Back,Bent Over Row
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Legs,Romanian Deadlift
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Legs,Squat
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Shoulders,Arnold Press
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Shoulders,Overhead Press
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Arms,Skull Crushers
17,58.5,196.6,15.1,Muscle Gain,1,Advanced,2,Arms,Concentration Curl
38,67.9,190.8,18.7,Weight Loss,0,Beginner,0,Cardio,Running
38,67.9,190.8,18.7,Weight Loss,0,Beginner,0,Cardio,Burpees
38,67.9,190.8,18.7,Weight Loss,0,Beginner,0,Core,Crunches
38,67.9,190.8,18.7,Weight Loss,0,Beginner,0,Core,Leg Raises
38,67.9,190.8,18.7,Weight Loss,0,Beginner,0,Full Body,Mountain Climbers
38,67.9,190.8,18.7,Weight Loss,0,Beginner,0,Full Body,Battle Ropes
20,117.5,167.6,41.8,Weight Loss,0,Advanced,2,Cardio,Box Jumps
20,117.5,167.6,41.8,Weight Loss,0,Advanced,2,Cardio,Burpees
20,117.5,167.6,41.8,Weight Loss,0,Advanced,2,Core,Russian Twist
20,117.5,167.6,41.8,Weight Loss,0,Advanced,2,Core,Leg Raises
20,117.5,167.6,41.8,Weight Loss,0,Advanced,2,Full Body,Thruster
20,117.5,167.6,41.8,Weight Loss,0,Advanced,2,Full Body,Clean and Press
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Chest,Cable Fly
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Chest,Incline Dumbbell Press
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Back,Bent Over Row
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Back,Pull Up
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Legs,Romanian Deadlift
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Legs,Squat
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Shoulders,Arnold Press
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Shoulders,Overhead Press
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Arms,Concentration Curl
32,47.9,181.8,14.5,Muscle Gain,1,Advanced,2,Arms,Skull Crushers
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Cardio,Burpees
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Cardio,Box Jumps
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Core,Leg Raises
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Core,Russian Twist
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Chest,Cable Fly
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Chest,Dips
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Legs,Romanian Deadlift
49,114.4,179.2,35.6,Maintain Weight,2,Advanced,2,Legs,Squat
62,112.5,177.8,35.6,Weight Loss,0,Intermediate,1,Cardio,Box Jumps
62,112.5,177.8,35.6,Weight Loss,0,Intermediate,1,Cardio,Jump Rope
62,112.5,177.8,35.6,Weight Loss,0,Intermediate,1,Core,Crunches
62,112.5,177.8,35.6,Weight Loss,0,Intermediate,1,Core,Leg Raises
62,112.5,177.8,35.6,Weight Loss,0,Intermediate,1,Full Body,Clean and Press
62,112.5,177.8,35.6,Weight Loss,0,Intermediate,1,Full Body,Thruster
55,87.7,173.3,29.2,Weight Loss,0,Beginner,0,Cardio,Cycling
55,87.7,173.3,29.2,Weight Loss,0,Beginner,0,Cardio,Burpees
55,87.7,173.3,29.2,Weight Loss,0,Beginner,0,Core,Russian Twist
55,87.7,173.3,29.2,Weight Loss,0,Beginner,0,Core,Crunches
55,87.7,173.3,29.2,Weight Loss,0,Beginner,0,Full Body,Mountain Climbers
55,87.7,173.3,29.2,Weight Loss,0,Beginner,0,Full Body,Battle Ropes
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Cardio,Burpees
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Cardio,Cycling
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Core,Russian Twist
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Core,Plank
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Chest,Push Up
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Chest,Incline Dumbbell Press
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Legs,Lunges
59,61.0,176.3,19.6,Maintain Weight,2,Beginner,0,Legs,Leg Press
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Chest,Bench Press
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Chest,Incline Dumbbell Press
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Back,Deadlift
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Back,Pull Up
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Legs,Romanian Deadlift
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Legs,Squat
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Shoulders,Arnold Press
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Shoulders,Overhead Press
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Arms,Skull Crushers
28,56.1,157.1,22.7,Muscle Gain,1,Advanced,2,Arms,Concentration Curl
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Chest,Cable Fly
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Chest,Bench Press
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Back,Seated Cable Row
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Back,Bent Over Row
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Legs,Squat
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Legs,Romanian Deadlift
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Shoulders,Lateral Raise
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Shoulders,Arnold Press
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Arms,Concentration Curl
64,109.5,194.8,28.9,Muscle Gain,1,Beginner,0,Arms,Hammer Curl
64,111.9,182.6,33.6,Weight Loss,0,Advanced,2,Cardio,Box Jumps
64,111.9,182.6,33.6,Weight Loss,0,Advanced,2,Cardio,Burpees
64,111.9,182.6,33.6,Weight Loss,0,Advanced,2,Core,Ab Wheel Rollout
64,111.9,182.6,33.6,Weight Loss,0,Advanced,2,Core,Leg Raises
64,111.9,182.6,33.6,Weight Loss,0,Advanced,2,Full Body,Battle Ropes
64,111.9,182.6,33.6,Weight Loss,0,Advanced,2,Full Body,Thruster
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Cardio,Burpees
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Cardio,Cycling
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Core,Plank
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Core,Russian Twist
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Chest,Push Up
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Chest,Incline Dumbbell Press
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Legs,Lunges
64,63.5,183.7,18.8,Maintain Weight,2,Intermediate,1,Legs,Calf Raises
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Chest,Incline Dumbbell Press
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Chest,Cable Fly
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Back,Pull Up
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Back,Bent Over Row
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Legs,Romanian Deadlift
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Legs,Squat
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Shoulders,Arnold Press
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Shoulders,Overhead Press
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Arms,Concentration Curl
50,51.0,161.8,19.5,Muscle Gain,1,Advanced,2,Arms,Skull Crushers
29,107.5,172.5,36.1,Weight Loss,0,Advanced,2,Cardio,Box Jumps
29,107.5,172.5,36.1,Weight Loss,0,Advanced,2,Cardio,Burpees
29,107.5,172.5,36.1,Weight Loss,0,Advanced,2,Core,Russian Twist
29,107.5,172.5,36.1,Weight Loss,0,Advanced,2,Core,Leg Raises
29,107.5,172.5,36.1,Weight Loss,0,Advanced,2,Full Body,Clean and Press
29,107.5,172.5,36.1,Weight Loss,0,Advanced,2,Full Body,Thruster
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Cardio,Cycling
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Cardio,Running
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Core,Russian Twist
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Core,Crunches
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Chest,Cable Fly
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Chest,Bench Press
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Legs,Romanian Deadlift
42,85.4,188.1,24.1,Maintain Weight,2,Beginner,0,Legs,Lunges
58,95.9,173.2,32.0,Weight Loss,0,Intermediate,1,Cardio,Box Jumps
58,95.9,173.2,32.0,Weight Loss,0,Intermediate,1,Cardio,Running
58,95.9,173.2,32.0,Weight Loss,0,Intermediate,1,Core,Leg Raises
58,95.9,173.2,32.0,Weight Loss,0,Intermediate,1,Core,Plank
58,95.9,173.2,32.0,Weight Loss,0,Intermediate,1,Full Body,Kettlebell Swing
58,95.9,173.2,32.0,Weight Loss,0,Intermediate,1,Full Body,Clean and Press
24,110.0,163.2,41.3,Weight Loss,0,Advanced,2,Cardio,Box Jumps
