goal,difficulty,age,weight_kg,height_cm,gender,activity_level,muscle_group,exercise_name,exercise_type,sets,reps,duration_sec,rest_sec,order_in_workout,met_value,estimated_calories
Muscle Gain,Intermediate,26,102,156,female,active,Arms,Bicep Curl,strength,4,8,0,90,5,3.0,38.8
Muscle Gain,Intermediate,23,103,196,female,very_active,Chest,Push Up,strength,4,8,0,90,1,3.8,49.6
Muscle Gain,Intermediate,23,103,196,female,very_active,Back,Deadlift,strength,4,8,0,90,2,6.0,78.3
Muscle Gain,Intermediate,23,103,196,female,very_active,Legs,Romanian Deadlift,strength,4,8,0,90,3,5.0,65.2
Muscle Gain,Intermediate,23,103,196,female,very_active,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,39.1
Muscle Gain,Intermediate,23,103,196,female,very_active,Arms,Tricep Pushdown,strength,4,8,0,90,5,3.0,39.1
Muscle Gain,Intermediate,48,97,169,female,active,Chest,Bench Press,strength,4,8,0,90,1,5.0,61.4
Muscle Gain,Intermediate,48,97,169,female,active,Back,Seated Cable Row,strength,4,8,0,90,2,3.5,43.0
Muscle Gain,Intermediate,48,97,169,female,active,Legs,Calf Raises,strength,4,8,0,90,3,2.5,30.7
Muscle Gain,Intermediate,48,97,169,female,active,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,36.9
Muscle Gain,Intermediate,48,97,169,female,active,Arms,Concentration Curl,strength,4,8,0,90,5,2.8,34.4
Muscle Gain,Beginner,46,64,199,male,sedentary,Chest,Bench Press,strength,3,6,0,72,1,5.0,28.8
Muscle Gain,Beginner,46,64,199,male,sedentary,Back,Pull Up,strength,3,6,0,72,2,5.0,28.8
Muscle Gain,Beginner,46,64,199,male,sedentary,Legs,Romanian Deadlift,strength,3,6,0,72,3,5.0,28.8
Muscle Gain,Beginner,46,64,199,male,sedentary,Shoulders,Front Raise,strength,3,6,0,72,4,3.0,17.3
Muscle Gain,Beginner,46,64,199,male,sedentary,Arms,Hammer Curl,strength,3,6,0,72,5,3.0,17.3
Weight Loss,Advanced,52,82,159,female,light,Cardio,Running,cardio,3,0,36,36,1,9.8,24.1
Weight Loss,Advanced,52,82,159,female,light,Core,Leg Raises,strength,3,18,0,36,2,3.0,17.2
Weight Loss,Advanced,52,82,159,female,light,Full Body,Burpees,cardio,3,0,36,36,3,10.0,24.6
Weight Loss,Advanced,52,82,159,female,light,Legs,Romanian Deadlift,strength,3,18,0,36,4,5.0,28.7
Muscle Gain,Beginner,40,111,178,male,moderate,Chest,Cable Fly,strength,3,6,0,72,1,3.5,35.0
Muscle Gain,Beginner,40,111,178,male,moderate,Back,Bent Over Row,strength,3,6,0,72,2,5.0,49.9
Muscle Gain,Beginner,40,111,178,male,moderate,Legs,Lunges,strength,3,6,0,72,3,4.5,45.0
Muscle Gain,Beginner,40,111,178,male,moderate,Shoulders,Overhead Press,strength,3,6,0,72,4,5.0,49.9
Muscle Gain,Beginner,40,111,178,male,moderate,Arms,Hammer Curl,strength,3,6,0,72,5,3.0,30.0
Weight Loss,Advanced,31,52,155,male,light,Cardio,Mountain Climbers,cardio,3,0,36,36,1,8.0,12.5
Weight Loss,Advanced,31,52,155,male,light,Core,Russian Twist,strength,3,18,0,36,2,3.5,12.7
Weight Loss,Advanced,31,52,155,male,light,Full Body,Burpees,cardio,3,0,36,36,3,10.0,15.6
Weight Loss,Advanced,31,52,155,male,light,Legs,Leg Press,strength,3,18,0,36,4,5.0,18.2
Muscle Gain,Beginner,49,101,186,female,very_active,Chest,Dips,strength,3,6,0,72,1,4.0,36.4
Muscle Gain,Beginner,49,101,186,female,very_active,Back,Bent Over Row,strength,3,6,0,72,2,5.0,45.4
Muscle Gain,Beginner,49,101,186,female,very_active,Legs,Calf Raises,strength,3,6,0,72,3,2.5,22.7
Muscle Gain,Beginner,49,101,186,female,very_active,Shoulders,Arnold Press,strength,3,6,0,72,4,4.0,36.4
Muscle Gain,Beginner,49,101,186,female,very_active,Arms,Concentration Curl,strength,3,6,0,72,5,2.8,25.5
Maintain Weight,Advanced,39,77,156,female,very_active,Cardio,Kettlebell Swing,cardio,3,0,36,72,1,9.0,20.8
Maintain Weight,Advanced,39,77,156,female,very_active,Core,Plank,strength,3,14,0,72,2,3.5,22.9
Maintain Weight,Advanced,39,77,156,female,very_active,Chest,Dips,strength,3,14,0,72,3,4.0,26.2
Maintain Weight,Advanced,39,77,156,female,very_active,Legs,Romanian Deadlift,strength,3,14,0,72,4,5.0,32.7
Maintain Weight,Advanced,39,77,156,female,very_active,Shoulders,Arnold Press,strength,3,14,0,72,5,4.0,26.2
Muscle Gain,Intermediate,28,111,187,male,sedentary,Chest,Incline Dumbbell Press,strength,4,8,0,90,1,4.5,63.3
Muscle Gain,Intermediate,28,111,187,male,sedentary,Back,Pull Up,strength,4,8,0,90,2,5.0,70.3
Muscle Gain,Intermediate,28,111,187,male,sedentary,Legs,Romanian Deadlift,strength,4,8,0,90,3,5.0,70.3
Muscle Gain,Intermediate,28,111,187,male,sedentary,Shoulders,Face Pull,strength,4,8,0,90,4,3.0,42.2
Muscle Gain,Intermediate,28,111,187,male,sedentary,Arms,Bicep Curl,strength,4,8,0,90,5,3.0,42.2
Maintain Weight,Advanced,23,76,163,female,very_active,Cardio,Running,cardio,3,0,36,72,1,9.8,22.3
Maintain Weight,Advanced,23,76,163,female,very_active,Core,Russian Twist,strength,3,14,0,72,2,3.5,22.6
Maintain Weight,Advanced,23,76,163,female,very_active,Chest,Push Up,strength,3,14,0,72,3,3.8,24.5
Maintain Weight,Advanced,23,76,163,female,very_active,Legs,Romanian Deadlift,strength,3,14,0,72,4,5.0,32.3
Maintain Weight,Advanced,23,76,163,female,very_active,Shoulders,Front Raise,strength,3,14,0,72,5,3.0,19.4
Muscle Gain,Beginner,29,88,156,male,sedentary,Chest,Dips,strength,3,6,0,72,1,4.0,31.7
Muscle Gain,Beginner,29,88,156,male,sedentary,Back,Pull Up,strength,3,6,0,72,2,5.0,39.6
Muscle Gain,Beginner,29,88,156,male,sedentary,Legs,Squat,strength,3,6,0,72,3,6.0,47.5
Muscle Gain,Beginner,29,88,156,male,sedentary,Shoulders,Front Raise,strength,3,6,0,72,4,3.0,23.8
Muscle Gain,Beginner,29,88,156,male,sedentary,Arms,Bicep Curl,strength,3,6,0,72,5,3.0,23.8
Muscle Gain,Intermediate,45,103,177,male,sedentary,Chest,Bench Press,strength,4,8,0,90,1,5.0,65.2
Muscle Gain,Intermediate,45,103,177,male,sedentary,Back,Bent Over Row,strength,4,8,0,90,2,5.0,65.2
Muscle Gain,Intermediate,45,103,177,male,sedentary,Legs,Leg Press,strength,4,8,0,90,3,5.0,65.2
Muscle Gain,Intermediate,45,103,177,male,sedentary,Shoulders,Face Pull,strength,4,8,0,90,4,3.0,39.1
Muscle Gain,Intermediate,45,103,177,male,sedentary,Arms,Skull Crushers,strength,4,8,0,90,5,3.5,45.7
Muscle Gain,Intermediate,49,117,165,female,moderate,Chest,Bench Press,strength,4,8,0,90,1,5.0,74.1
Muscle Gain,Intermediate,49,117,165,female,moderate,Back,Seated Cable Row,strength,4,8,0,90,2,3.5,51.9
Muscle Gain,Intermediate,49,117,165,female,moderate,Legs,Romanian Deadlift,strength,4,8,0,90,3,5.0,74.1
Muscle Gain,Intermediate,49,117,165,female,moderate,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,44.5
Muscle Gain,Intermediate,49,117,165,female,moderate,Arms,Hammer Curl,strength,4,8,0,90,5,3.0,44.5
Maintain Weight,Beginner,26,108,160,female,very_active,Cardio,Burpees,cardio,2,0,24,48,1,10.0,14.4
Maintain Weight,Beginner,26,108,160,female,very_active,Core,Leg Raises,strength,2,9,0,48,2,3.0,15.7
Maintain Weight,Beginner,26,108,160,female,very_active,Chest,Cable Fly,strength,2,9,0,48,3,3.5,18.3
Maintain Weight,Beginner,26,108,160,female,very_active,Legs,Lunges,strength,2,9,0,48,4,4.5,23.5
Maintain Weight,Beginner,26,108,160,female,very_active,Shoulders,Arnold Press,strength,2,9,0,48,5,4.0,20.9
Maintain Weight,Intermediate,20,68,174,female,active,Cardio,Running,cardio,3,0,30,60,1,9.8,16.7
Maintain Weight,Intermediate,20,68,174,female,active,Core,Plank,strength,3,12,0,60,2,3.5,19.0
Maintain Weight,Intermediate,20,68,174,female,active,Chest,Push Up,strength,3,12,0,60,3,3.8,20.7
Maintain Weight,Intermediate,20,68,174,female,active,Legs,Squat,strength,3,12,0,60,4,6.0,32.6
Maintain Weight,Intermediate,20,68,174,female,active,Shoulders,Front Raise,strength,3,12,0,60,5,3.0,16.3
Weight Loss,Beginner,40,80,184,female,moderate,Cardio,Mountain Climbers,cardio,2,0,24,24,1,8.0,8.5
Weight Loss,Beginner,40,80,184,female,moderate,Core,Leg Raises,strength,2,12,0,24,2,3.0,8.8
Weight Loss,Beginner,40,80,184,female,moderate,Full Body,Kettlebell Swing,cardio,2,0,24,24,3,9.0,9.6
Weight Loss,Beginner,40,80,184,female,moderate,Legs,Squat,strength,2,12,0,24,4,6.0,17.6
Weight Loss,Intermediate,18,97,166,male,very_active,Cardio,Battle Ropes,cardio,3,0,30,30,1,10.0,24.2
Weight Loss,Intermediate,18,97,166,male,very_active,Core,Russian Twist,strength,3,15,0,30,2,3.5,21.2
Weight Loss,Intermediate,18,97,166,male,very_active,Full Body,Burpees,cardio,3,0,30,30,3,10.0,24.2
Weight Loss,Intermediate,18,97,166,male,very_active,Legs,Squat,strength,3,15,0,30,4,6.0,36.4
Maintain Weight,Advanced,33,52,174,female,sedentary,Cardio,Battle Ropes,cardio,3,0,36,72,1,10.0,15.6
Maintain Weight,Advanced,33,52,174,female,sedentary,Core,Leg Raises,strength,3,14,0,72,2,3.0,13.3
Maintain Weight,Advanced,33,52,174,female,sedentary,Chest,Incline Dumbbell Press,strength,3,14,0,72,3,4.5,19.9
Maintain Weight,Advanced,33,52,174,female,sedentary,Legs,Squat,strength,3,14,0,72,4,6.0,26.5
Maintain Weight,Advanced,33,52,174,female,sedentary,Shoulders,Arnold Press,strength,3,14,0,72,5,4.0,17.7
Muscle Gain,Intermediate,52,74,183,female,light,Chest,Push Up,strength,4,8,0,90,1,3.8,35.6
Muscle Gain,Intermediate,52,74,183,female,light,Back,Bent Over Row,strength,4,8,0,90,2,5.0,46.9
Muscle Gain,Intermediate,52,74,183,female,light,Legs,Calf Raises,strength,4,8,0,90,3,2.5,23.4
Muscle Gain,Intermediate,52,74,183,female,light,Shoulders,Overhead Press,strength,4,8,0,90,4,5.0,46.9
Muscle Gain,Intermediate,52,74,183,female,light,Arms,Skull Crushers,strength,4,8,0,90,5,3.5,32.8
Weight Loss,Beginner,31,70,174,female,moderate,Cardio,Running,cardio,2,0,24,24,1,9.8,9.1
Weight Loss,Beginner,31,70,174,female,moderate,Core,Plank,strength,2,12,0,24,2,3.5,9.0
Weight Loss,Beginner,31,70,174,female,moderate,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,8.4
Weight Loss,Beginner,31,70,174,female,moderate,Legs,Lunges,strength,2,12,0,24,4,4.5,11.6
Maintain Weight,Intermediate,39,79,192,female,very_active,Cardio,Burpees,cardio,3,0,30,60,1,10.0,19.8
Maintain Weight,Intermediate,39,79,192,female,very_active,Core,Russian Twist,strength,3,12,0,60,2,3.5,22.1
Maintain Weight,Intermediate,39,79,192,female,very_active,Chest,Incline Dumbbell Press,strength,3,12,0,60,3,4.5,28.4
Maintain Weight,Intermediate,39,79,192,female,very_active,Legs,Leg Press,strength,3,12,0,60,4,5.0,31.6
Maintain Weight,Intermediate,39,79,192,female,very_active,Shoulders,Face Pull,strength,3,12,0,60,5,3.0,19.0
Muscle Gain,Beginner,45,113,187,male,active,Chest,Dips,strength,3,6,0,72,1,4.0,40.7
Muscle Gain,Beginner,45,113,187,male,active,Back,Bent Over Row,strength,3,6,0,72,2,5.0,50.9
Muscle Gain,Beginner,45,113,187,male,active,Legs,Romanian Deadlift,strength,3,6,0,72,3,5.0,50.9
Muscle Gain,Beginner,45,113,187,male,active,Shoulders,Front Raise,strength,3,6,0,72,4,3.0,30.5
Muscle Gain,Beginner,45,113,187,male,active,Arms,Bicep Curl,strength,3,6,0,72,5,3.0,30.5
Weight Loss,Intermediate,46,95,160,male,active,Cardio,Running,cardio,3,0,30,30,1,9.8,23.3
Weight Loss,Intermediate,46,95,160,male,active,Core,Ab Wheel Rollout,strength,3,15,0,30,2,4.0,23.8
Weight Loss,Intermediate,46,95,160,male,active,Full Body,Battle Ropes,cardio,3,0,30,30,3,10.0,23.8
Weight Loss,Intermediate,46,95,160,male,active,Legs,Squat,strength,3,15,0,30,4,6.0,35.6
Muscle Gain,Beginner,48,109,187,female,very_active,Chest,Dips,strength,3,6,0,72,1,4.0,39.2
Muscle Gain,Beginner,48,109,187,female,very_active,Back,Pull Up,strength,3,6,0,72,2,5.0,49.0
Muscle Gain,Beginner,48,109,187,female,very_active,Legs,Lunges,strength,3,6,0,72,3,4.5,44.1
Muscle Gain,Beginner,48,109,187,female,very_active,Shoulders,Lateral Raise,strength,3,6,0,72,4,3.0,29.4
Muscle Gain,Beginner,48,109,187,female,very_active,Arms,Bicep Curl,strength,3,6,0,72,5,3.0,29.4
Muscle Gain,Advanced,20,95,178,female,light,Chest,Incline Dumbbell Press,strength,4,9,0,108,1,4.5,55.6
Muscle Gain,Advanced,20,95,178,female,light,Back,Deadlift,strength,4,9,0,108,2,6.0,74.1
Muscle Gain,Advanced,20,95,178,female,light,Legs,Leg Press,strength,4,9,0,108,3,5.0,61.8
Muscle Gain,Advanced,20,95,178,female,light,Shoulders,Lateral Raise,strength,4,9,0,108,4,3.0,37.1
Muscle Gain,Advanced,20,95,178,female,light,Arms,Bicep Curl,strength,4,9,0,108,5,3.0,37.1
Weight Loss,Beginner,46,91,180,male,light,Cardio,Running,cardio,2,0,24,24,1,9.8,11.9
Weight Loss,Beginner,46,91,180,male,light,Core,Ab Wheel Rollout,strength,2,12,0,24,2,4.0,13.3
Weight Loss,Beginner,46,91,180,male,light,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,10.9
Weight Loss,Beginner,46,91,180,male,light,Legs,Leg Press,strength,2,12,0,24,4,5.0,16.7
Maintain Weight,Beginner,53,94,174,male,active,Cardio,Burpees,cardio,2,0,24,48,1,10.0,12.5
Maintain Weight,Beginner,53,94,174,male,active,Core,Leg Raises,strength,2,9,0,48,2,3.0,13.6
Maintain Weight,Beginner,53,94,174,male,active,Chest,Push Up,strength,2,9,0,48,3,3.8,17.3
Maintain Weight,Beginner,53,94,174,male,active,Legs,Leg Press,strength,2,9,0,48,4,5.0,22.7
Maintain Weight,Beginner,53,94,174,male,active,Shoulders,Front Raise,strength,2,9,0,48,5,3.0,13.6
Weight Loss,Intermediate,39,107,176,male,active,Cardio,Jump Rope,cardio,3,0,30,30,1,12.3,32.9
Weight Loss,Intermediate,39,107,176,male,active,Core,Russian Twist,strength,3,15,0,30,2,3.5,23.4
Weight Loss,Intermediate,39,107,176,male,active,Full Body,Clean and Press,cardio,3,0,30,30,3,9.0,24.1
Weight Loss,Intermediate,39,107,176,male,active,Legs,Calf Raises,strength,3,15,0,30,4,2.5,16.7
Weight Loss,Beginner,22,117,160,male,active,Cardio,Kettlebell Swing,cardio,2,0,24,24,1,9.0,14.0
Weight Loss,Beginner,22,117,160,male,active,Core,Russian Twist,strength,2,12,0,24,2,3.5,15.0
Weight Loss,Beginner,22,117,160,male,active,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,14.0
Weight Loss,Beginner,22,117,160,male,active,Legs,Calf Raises,strength,2,12,0,24,4,2.5,10.7
Muscle Gain,Intermediate,47,68,171,female,moderate,Chest,Cable Fly,strength,4,8,0,90,1,3.5,30.1
Muscle Gain,Intermediate,47,68,171,female,moderate,Back,Deadlift,strength,4,8,0,90,2,6.0,51.7
Muscle Gain,Intermediate,47,68,171,female,moderate,Legs,Leg Press,strength,4,8,0,90,3,5.0,43.1
Muscle Gain,Intermediate,47,68,171,female,moderate,Shoulders,Face Pull,strength,4,8,0,90,4,3.0,25.8
Muscle Gain,Intermediate,47,68,171,female,moderate,Arms,Tricep Pushdown,strength,4,8,0,90,5,3.0,25.8
Weight Loss,Intermediate,40,58,166,male,sedentary,Cardio,Jump Rope,cardio,3,0,30,30,1,12.3,17.8
Weight Loss,Intermediate,40,58,166,male,sedentary,Core,Crunches,strength,3,15,0,30,2,3.0,10.9
Weight Loss,Intermediate,40,58,166,male,sedentary,Full Body,Burpees,cardio,3,0,30,30,3,10.0,14.5
Weight Loss,Intermediate,40,58,166,male,sedentary,Legs,Leg Press,strength,3,15,0,30,4,5.0,18.1
Muscle Gain,Intermediate,42,50,170,male,very_active,Chest,Dips,strength,4,8,0,90,1,4.0,25.3
Muscle Gain,Intermediate,42,50,170,male,very_active,Back,Bent Over Row,strength,4,8,0,90,2,5.0,31.7
Muscle Gain,Intermediate,42,50,170,male,very_active,Legs,Romanian Deadlift,strength,4,8,0,90,3,5.0,31.7
Muscle Gain,Intermediate,42,50,170,male,very_active,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,19.0
Muscle Gain,Intermediate,42,50,170,male,very_active,Arms,Hammer Curl,strength,4,8,0,90,5,3.0,19.0
Weight Loss,Intermediate,46,118,184,female,active,Cardio,Box Jumps,cardio,3,0,30,30,1,10.0,29.5
Weight Loss,Intermediate,46,118,184,female,active,Core,Leg Raises,strength,3,15,0,30,2,3.0,22.1
Weight Loss,Intermediate,46,118,184,female,active,Full Body,Kettlebell Swing,cardio,3,0,30,30,3,9.0,26.6
Weight Loss,Intermediate,46,118,184,female,active,Legs,Leg Press,strength,3,15,0,30,4,5.0,36.9
Weight Loss,Advanced,53,82,184,male,light,Cardio,Jump Rope,cardio,3,0,36,36,1,12.3,30.3
Weight Loss,Advanced,53,82,184,male,light,Core,Ab Wheel Rollout,strength,3,18,0,36,2,4.0,23.0
Weight Loss,Advanced,53,82,184,male,light,Full Body,Clean and Press,cardio,3,0,36,36,3,9.0,22.1
Weight Loss,Advanced,53,82,184,male,light,Legs,Leg Press,strength,3,18,0,36,4,5.0,28.7
Maintain Weight,Intermediate,36,107,186,male,very_active,Cardio,Box Jumps,cardio,3,0,30,60,1,10.0,26.8
Maintain Weight,Intermediate,36,107,186,male,very_active,Core,Leg Raises,strength,3,12,0,60,2,3.0,25.7
Maintain Weight,Intermediate,36,107,186,male,very_active,Chest,Push Up,strength,3,12,0,60,3,3.8,32.5
Maintain Weight,Intermediate,36,107,186,male,very_active,Legs,Squat,strength,3,12,0,60,4,6.0,51.4
Maintain Weight,Intermediate,36,107,186,male,very_active,Shoulders,Arnold Press,strength,3,12,0,60,5,4.0,34.2
Maintain Weight,Intermediate,52,82,187,male,moderate,Cardio,Burpees,cardio,3,0,30,60,1,10.0,20.5
Maintain Weight,Intermediate,52,82,187,male,moderate,Core,Ab Wheel Rollout,strength,3,12,0,60,2,4.0,26.2
Maintain Weight,Intermediate,52,82,187,male,moderate,Chest,Cable Fly,strength,3,12,0,60,3,3.5,23.0
Maintain Weight,Intermediate,52,82,187,male,moderate,Legs,Lunges,strength,3,12,0,60,4,4.5,29.5
Maintain Weight,Intermediate,52,82,187,male,moderate,Shoulders,Overhead Press,strength,3,12,0,60,5,5.0,32.8
Weight Loss,Intermediate,46,62,166,male,light,Cardio,Box Jumps,cardio,3,0,30,30,1,10.0,15.5
Weight Loss,Intermediate,46,62,166,male,light,Core,Russian Twist,strength,3,15,0,30,2,3.5,13.6
Weight Loss,Intermediate,46,62,166,male,light,Full Body,Kettlebell Swing,cardio,3,0,30,30,3,9.0,14.0
Weight Loss,Intermediate,46,62,166,male,light,Legs,Lunges,strength,3,15,0,30,4,4.5,17.4
Maintain Weight,Beginner,43,57,183,female,light,Cardio,Jump Rope,cardio,2,0,24,48,1,12.3,9.3
Maintain Weight,Beginner,43,57,183,female,light,Core,Crunches,strength,2,9,0,48,2,3.0,8.3
Maintain Weight,Beginner,43,57,183,female,light,Chest,Incline Dumbbell Press,strength,2,9,0,48,3,4.5,12.4
Maintain Weight,Beginner,43,57,183,female,light,Legs,Squat,strength,2,9,0,48,4,6.0,16.5
Maintain Weight,Beginner,43,57,183,female,light,Shoulders,Arnold Press,strength,2,9,0,48,5,4.0,11.0
Muscle Gain,Beginner,28,78,190,male,very_active,Chest,Dips,strength,3,6,0,72,1,4.0,28.1
Muscle Gain,Beginner,28,78,190,male,very_active,Back,Pull Up,strength,3,6,0,72,2,5.0,35.1
Muscle Gain,Beginner,28,78,190,male,very_active,Legs,Romanian Deadlift,strength,3,6,0,72,3,5.0,35.1
Muscle Gain,Beginner,28,78,190,male,very_active,Shoulders,Lateral Raise,strength,3,6,0,72,4,3.0,21.1
Muscle Gain,Beginner,28,78,190,male,very_active,Arms,Concentration Curl,strength,3,6,0,72,5,2.8,19.7
Weight Loss,Advanced,52,85,172,male,very_active,Cardio,Cycling,cardio,3,0,36,36,1,7.5,19.1
Weight Loss,Advanced,52,85,172,male,very_active,Core,Plank,strength,3,18,0,36,2,3.5,20.8
Weight Loss,Advanced,52,85,172,male,very_active,Full Body,Battle Ropes,cardio,3,0,36,36,3,10.0,25.5
Weight Loss,Advanced,52,85,172,male,very_active,Legs,Squat,strength,3,18,0,36,4,6.0,35.7
Maintain Weight,Beginner,47,66,174,female,sedentary,Cardio,Kettlebell Swing,cardio,2,0,24,48,1,9.0,7.9
Maintain Weight,Beginner,47,66,174,female,sedentary,Core,Ab Wheel Rollout,strength,2,9,0,48,2,4.0,12.8
Maintain Weight,Beginner,47,66,174,female,sedentary,Chest,Incline Dumbbell Press,strength,2,9,0,48,3,4.5,14.4
Maintain Weight,Beginner,47,66,174,female,sedentary,Legs,Lunges,strength,2,9,0,48,4,4.5,14.4
Maintain Weight,Beginner,47,66,174,female,sedentary,Shoulders,Overhead Press,strength,2,9,0,48,5,5.0,15.9
Weight Loss,Beginner,36,58,161,female,active,Cardio,Burpees,cardio,2,0,24,24,1,10.0,7.7
Weight Loss,Beginner,36,58,161,female,active,Core,Crunches,strength,2,12,0,24,2,3.0,6.4
Weight Loss,Beginner,36,58,161,female,active,Full Body,Battle Ropes,cardio,2,0,24,24,3,10.0,7.7
Weight Loss,Beginner,36,58,161,female,active,Legs,Calf Raises,strength,2,12,0,24,4,2.5,5.3
Maintain Weight,Beginner,38,102,177,female,sedentary,Cardio,Mountain Climbers,cardio,2,0,24,48,1,8.0,10.9
Maintain Weight,Beginner,38,102,177,female,sedentary,Core,Ab Wheel Rollout,strength,2,9,0,48,2,4.0,19.7
Maintain Weight,Beginner,38,102,177,female,sedentary,Chest,Dips,strength,2,9,0,48,3,4.0,19.7
Maintain Weight,Beginner,38,102,177,female,sedentary,Legs,Leg Press,strength,2,9,0,48,4,5.0,24.6
Maintain Weight,Beginner,38,102,177,female,sedentary,Shoulders,Lateral Raise,strength,2,9,0,48,5,3.0,14.8
Maintain Weight,Intermediate,48,54,189,male,very_active,Cardio,Burpees,cardio,3,0,30,60,1,10.0,13.5
Maintain Weight,Intermediate,48,54,189,male,very_active,Core,Russian Twist,strength,3,12,0,60,2,3.5,15.1
Maintain Weight,Intermediate,48,54,189,male,very_active,Chest,Push Up,strength,3,12,0,60,3,3.8,16.4
Maintain Weight,Intermediate,48,54,189,male,very_active,Legs,Romanian Deadlift,strength,3,12,0,60,4,5.0,21.6
Maintain Weight,Intermediate,48,54,189,male,very_active,Shoulders,Overhead Press,strength,3,12,0,60,5,5.0,21.6
Muscle Gain,Intermediate,34,56,167,female,light,Chest,Bench Press,strength,4,8,0,90,1,5.0,35.5
Muscle Gain,Intermediate,34,56,167,female,light,Back,Deadlift,strength,4,8,0,90,2,6.0,42.6
Muscle Gain,Intermediate,34,56,167,female,light,Legs,Lunges,strength,4,8,0,90,3,4.5,31.9
Muscle Gain,Intermediate,34,56,167,female,light,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,21.3
Muscle Gain,Intermediate,34,56,167,female,light,Arms,Tricep Pushdown,strength,4,8,0,90,5,3.0,21.3
Weight Loss,Beginner,54,87,173,female,very_active,Cardio,Running,cardio,2,0,24,24,1,9.8,11.4
Weight Loss,Beginner,54,87,173,female,very_active,Core,Leg Raises,strength,2,12,0,24,2,3.0,9.6
Weight Loss,Beginner,54,87,173,female,very_active,Full Body,Burpees,cardio,2,0,24,24,3,10.0,11.6
Weight Loss,Beginner,54,87,173,female,very_active,Legs,Squat,strength,2,12,0,24,4,6.0,19.1
Weight Loss,Intermediate,48,68,198,female,moderate,Cardio,Jump Rope,cardio,3,0,30,30,1,12.3,20.9
Weight Loss,Intermediate,48,68,198,female,moderate,Core,Crunches,strength,3,15,0,30,2,3.0,12.8
Weight Loss,Intermediate,48,68,198,female,moderate,Full Body,Thruster,cardio,3,0,30,30,3,9.5,16.2
Weight Loss,Intermediate,48,68,198,female,moderate,Legs,Lunges,strength,3,15,0,30,4,4.5,19.1
Weight Loss,Beginner,45,107,174,female,very_active,Cardio,Mountain Climbers,cardio,2,0,24,24,1,8.0,11.4
Weight Loss,Beginner,45,107,174,female,very_active,Core,Plank,strength,2,12,0,24,2,3.5,13.7
